1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
1	G3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	G0	1
1	G2	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	G1	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1
1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1
1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1
1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1
W3	O2R	P1	0	0	0	0	1	1	1	1	1	0	0	0	0	P0	O1L	W4
1	1	P2	1	1	0	1	1	1	1	1	1	1	0	1	1	P3	1	1
1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	1	0	1	1
1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
1	0	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	0	1
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
1	0	1	1	0	1	0	1	1	1	1	1	0	1	0	1	1	0	1
1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1
1	1	1	1	0	1	1	1	0	1	0	1	1	1	0	1	1	1	1
1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	1	1	1
W1	O4R	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	O3L	W2
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
